,Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
235,235,236,RE van der Merwe,South Africa,27,414,326,24.35294118,91.29515843,0,3,2,4,10,4,23,172.0,1.0,57.33333333,0.0,0.0,0.0,2.0,1.0,0.0,10,156,2,0,1,0,5,31.2,0,0,242.0,9.0,17.28571429,0.0,0.0,4.0,1.0,1.0,0.0,1.072868217,1.577685950698347,5.192307692307692,1.7965473147391302
236,236,237,DA Warner,Australia,81,2265,1683,31.90140845,118.8541001,1,11,18,6,10,21,60,700.0,5.0,43.75,0.0,0.0,0.0,4.0,4.0,1.0,10,373,1,1,5,0,5,74.6,0,0,1565.0,5.0,28.45454545,0.0,0.0,6.0,7.0,14.0,0.0,1.63875,2.776415916230032,5.442359249329759,3.5343531386821194
237,237,238,DJ Hussey,Australia,36,756,636,22.90909091,96.4197595,0,7,3,4,3,9,27,210.0,1.0,26.25,0.0,0.0,0.0,3.0,0.0,0.0,10,134,1,1,0,0,0,13.4,0,0,546.0,2.0,21.84,0.0,0.0,4.0,4.0,3.0,0.0,0.9803571428571428,1.4977582417582416,5.111940298507462,1.692207792238095
238,238,239,CJ Ferguson,Australia,3,16,20,5.333333333,56.2962963,0,0,0,1,0,1,2,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16,1,0,0,0,0,5.333333333,0,0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,1.5,0.69999999995625
239,239,240,KO Otieno,Kenya,1,7,10,7.0,70.0,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,7.0,0,0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.5,0.6999999999999998
240,240,241,RG Aga,Kenya,13,157,142,14.27272727,89.31707343,0,1,1,0,2,3,10,46.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,10,118,0,1,1,0,1,13.11111111,0,0,111.0,1.0,12.33333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0499999999999998,1.1831831829729729,5.381355932203389,1.1998841920828025
241,241,242,WTS Porterfield,Ireland,52,946,896,21.5,91.77033608,0,10,3,5,8,10,42,192.0,2.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,10,165,0,2,0,0,0,16.5,0,0,754.0,6.0,20.94444444,0.0,0.0,4.0,9.0,2.0,0.0,1.109375,1.9028735630450928,5.181818181818182,2.1465116279069765
242,242,243,GC Wilson,Ireland,60,1070,1047,20.18867925,89.14241273,0,9,3,4,7,12,48,231.0,1.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0,10,74,0,0,0,0,1,8.222222222,0,0,839.0,6.0,19.97619048,0.0,0.0,3.0,6.0,3.0,0.0,0.9974025974025974,1.8297973779833134,5.0,2.054135073364486
243,243,244,NJ O'Brien,Ireland,22,346,365,17.3,92.91773064,0,3,0,0,2,4,18,31.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,10,173,0,1,0,0,1,19.22222222,0,0,315.0,2.0,19.6875,0.0,0.0,0.0,3.0,0.0,0.0,0.7,1.0446428571428572,5.086705202312139,1.0561271676300577
244,244,245,AC Botha,Ireland,7,75,84,12.5,74.84666594,0,0,0,2,1,1,6,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7,75,2,0,0,0,1,12.5,0,0,53.0,1.0,10.6,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.8399999999999999,3.5,0.8166666666666667
